Summary,Issue key,Issue id,Parent id,Issue Type,Status,Project key,Project name,Project type,Project lead,Project description,Project url,Priority,Resolution,Assignee,Reporter,Creator,Created,Updated,Last Viewed,Resolved,Due Date,Votes,Labels,Description,Environment,Watchers,Watchers,Log Work,Log Work,Original Estimate,Remaining Estimate,Time Spent,Work Ratio,Σ Original Estimate,Σ Remaining Estimate,Σ Time Spent,Security Level,Inward issue link (Cloners),Inward issue link (Cloners),Outward issue link (Cloners),Inward issue link (Relates),Inward issue link (Relates),Inward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Outward issue link (Relates),Custom field (Epic Color),Custom field (Epic Link),Custom field (Epic Name),Custom field (Epic Status),Custom field (Rank),Sprint,Sprint,Sprint,Custom field (Story Points),Comment,Comment
Create sunburst visual for web app,PITL1-156,11819,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:56 PM,05/Jul/21 6:46 PM,06/Jul/21 8:42 PM,05/Jul/21 6:46 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00472:i",Sprint 3 - Week 3,,,,,
Create funnel insight for recommendation model,PITL1-155,11818,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:56 PM,05/Jul/21 6:45 PM,06/Jul/21 8:42 PM,05/Jul/21 6:45 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00471:i",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-154,11817,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 6:46 PM,06/Jul/21 8:42 PM,05/Jul/21 6:46 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00472:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-153,11816,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,saurypande,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kv:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-152,11815,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,ga65hif,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kn:",Sprint 3 - Week 3,,,,,
Finish code review for case study,PITL1-151,11814,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,zhiyiniu,nikanmog,nikanmog,05/Jul/21 3:54 PM,05/Jul/21 3:55 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004kf:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & merge request),PITL1-150,11809,,Task,Done,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,Done,nikanmog,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:40 PM,06/Jul/21 8:42 PM,06/Jul/21 12:40 PM,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i00471:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-149,11808,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,zhiyiniu,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:25 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jz:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-148,11807,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,ga65hif,nikanmog,nikanmog,05/Jul/21 11:28 AM,06/Jul/21 12:25 PM,06/Jul/21 8:42 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jr:",Sprint 3 - Week 3,,,,,
Refactor code (create branch & improve code for every jupyter file you worked on & create merge request),PITL1-147,11806,,Task,Open,PITL1,Team L1 – Learning From Heterogeneous Developer Data,software,nikanmog,,,Medium,,saurypande,nikanmog,nikanmog,05/Jul/21 11:28 AM,05/Jul/21 7:53 PM,05/Jul/21 7:53 PM,,,0,,,,nikanmog,,,,,,,,,,,,,,,,,,,,,,,,,,"0|i004jj:",Sprint 3 - Week 3,,,,,
