hash;user;time;comment
4e70c54;ayyjohn;Sun May 9 20:20:50 2021;Fix capitalization of Dropbox (#511)
6984b4e;Trần Tiến Đức;Tue Feb 16 03:14:06 2021;Fix LRU cache link (#505)
9107b8a;Donne Martin;Tue Feb 16 03:10:03 2021;Fixing the indieflashblog address with archive.org since website has been discontinued (#500)
ffc8123;Laurent Erignoux;Sun Jan 24 10:26:08 2021;Fixing the indieflashblog address with archive.org since website has been discontinued
478a7d7;Abdalla Mohamed;Tue Dec 29 03:51:32 2020;Fix Celery URL (#486)
f103307;Peter Yao;Fri Oct 30 02:14:45 2020;Update broken HBase architecture link (#481)
53c0cf7;Ryo Shibayama;Sun Aug 2 20:13:17 2020;Fix translations link in PR template (#451)
b7f255e;Isetty Ravi Teja Kumar;Sun Aug 2 20:10:22 2020;Fix #335: Update OSI image to Open Systems Interconnection (#447)
7d39c44;Daniel Julius Lasiman;Sat Jul 18 03:15:47 2020;Remove Imgur dependency by storing images locally (#168)
828014a;Donne Martin;Sun Jul 12 18:02:44 2020;Remove extraneous __init__.py (#393)
f471578;Donne Martin;Sun Jul 12 18:00:04 2020;Resolve #281: Add design stock exchange links (#441)
aaa0acc;Donne Martin;Sun Jul 12 17:58:35 2020;Update README.md
b5173d6;Adam Dobrawy;Sat Jul 11 03:01:12 2020;Change disk to HDD for clarity (#295)
cbaae48;Noe Brito;Fri Jul 10 02:49:43 2020;Clarify CDN advantages (#310)
ad5435b;Varsha Muzumdar;Fri Jul 10 02:48:47 2020;Add links for latency based and geolocation based routing (#319)
78e2eb5;Ganessh Kumar;Thu Jul 9 02:10:16 2020;Update dead links (#321)
06b3ed2;Joilson Cisne;Wed Jul 8 02:56:05 2020;Fix loop bug in deck of cards exercise (#396)
0beb557;Manas Gupta;Wed Jul 8 02:54:01 2020;Add CAP theorem video link (#400)
2fe45a9;Harry Moreno;Tue Jul 7 05:53:01 2020;Additional question
727a2f8;John Richardson;Tue Jul 7 03:05:50 2020;Remove redundant SQL index in Pastebin exercise (#405)
cc11a9b;Vladimir Mikhaylov;Tue Jul 7 03:00:34 2020;Fix Mint exercise bugs and typos (#409)
6d700ab;Youngchul Bang;Sun Jul 5 16:57:57 2020;kr: Fix Korean translation link in language index (#340)
d3b3e78;Rahil;Sun Jul 5 16:53:28 2020;Add system design template link (#433)
793f472;Nachiket Acharya;Sun Jul 5 16:50:31 2020;Fix #313: Clarify availability patterns (#439)
2ac6512;Agade09;Sun Jul 5 16:48:23 2020;Fix typos in Twitter and web crawler exercises (#438)
914736a;Kofi Forson;Sat Jul 4 16:55:42 2020;Update Twitter back-of-the-envelope calculations (#414)
5d4dac6;Kevin Liu;Sat Jul 4 16:53:56 2020;Fix typo: Change replication to federation (#418)
6020231;Sainadh Devireddy;Sat Jul 4 03:24:24 2020;Check dependencies in Ebook gen script (#406)
d57b3d1;Neesara;Sat Jul 4 03:22:02 2020;Resolve #164 - Fix phrasing with availability and partition tolerance (#350)
fca96ca;Donne Martin;Fri Jul 3 03:18:36 2020;Highlight translation request (#437)
661c029;Donne Martin;Fri Jul 3 03:11:07 2020;Add status of translations (#436)
b199766;Donne Martin;Thu Jul 2 02:54:05 2020;Add pull request template (#435)
b4a7a09;Donne Martin;Thu Jul 2 02:48:43 2020;Update contributing guidelines for translations (#434)
42aa63b;shiyujiucsb;Wed Jul 1 02:56:55 2020;Fix layer 7 load balancers typo (#317)
f2d7dd8;panguncle;Wed Jul 1 02:42:24 2020;Fix single point of failure typo (#398)
